City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Wagar,SD,16.1525,36.2032,90.97,37,28,5.97,scattered clouds
221,Ballina,AU,-28.8667,153.5667,60.98,88,27,1.14,scattered clouds
222,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,48,14.12,light rain
223,Mount Isa,AU,-20.7333,139.5,73.17,27,25,9.22,scattered clouds
224,Alta Gracia,AR,-31.6529,-64.4283,65.88,17,2,6.44,clear sky
225,Fayaoue,NC,-20.65,166.5333,75.31,89,0,11.41,clear sky
226,Hasaki,JP,35.7333,140.8333,66.6,80,0,10.02,clear sky
227,Naryan-Mar,RU,67.6713,53.087,39.38,92,90,10.54,overcast clouds
228,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,66.6,67,72,15.41,broken clouds
229,Kuusamo,FI,65.9667,29.1833,46.44,76,0,11.5,clear sky
230,Skelleftea,SE,64.7507,20.9528,54.0,63,75,5.01,light rain
231,Yibin,CN,28.7667,104.6238,77.27,88,86,6.96,light rain
232,Santarem,BR,-2.4431,-54.7083,87.93,70,0,8.05,clear sky
233,Tyukalinsk,RU,55.8732,72.1967,30.79,96,100,8.48,overcast clouds
234,Touros,BR,-5.1989,-35.4608,81.5,74,6,14.83,clear sky
235,Omegna,IT,45.8798,8.408,62.11,95,100,4.0,overcast clouds
236,Ilulissat,GL,69.2167,-51.1,28.42,64,99,2.3,overcast clouds
237,Moroni,KM,-11.7022,43.2551,74.59,78,61,1.54,broken clouds
238,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,16.11,clear sky
239,Goma,CD,-1.6792,29.2228,64.29,92,100,3.83,overcast clouds
240,Lapa,BR,-25.7697,-49.7158,60.78,97,100,3.27,light rain
241,Pacific Grove,US,36.6177,-121.9166,99.57,65,1,3.0,clear sky
242,Orlik,RU,52.5178,99.825,18.77,79,100,2.64,overcast clouds
243,Ostrovnoy,RU,68.0531,39.5131,44.29,85,18,21.61,few clouds
244,Kamenka,RU,51.3223,42.7678,42.44,77,1,6.53,clear sky
245,General Pico,AR,-35.6566,-63.7568,56.7,42,5,5.79,clear sky
246,Kologriv,RU,58.8275,44.3178,43.09,91,100,2.86,overcast clouds
247,Batagay,RU,67.6333,134.6333,21.29,96,78,2.19,broken clouds
248,Lota,CL,-37.0833,-73.1667,58.46,65,1,14.5,clear sky
249,Vinh Long,VN,10.25,105.9667,76.98,88,96,2.73,overcast clouds
250,College,US,64.8569,-147.8028,35.29,95,75,4.61,light snow
251,Khash,IR,28.2211,61.2158,61.88,27,8,4.65,clear sky
252,Katangli,RU,51.7102,143.2326,40.12,81,89,11.7,overcast clouds
253,Rexburg,US,43.826,-111.7897,75.27,15,1,8.05,clear sky
254,Xining,CN,36.6167,101.7667,38.55,95,100,2.44,overcast clouds
255,Dubbo,AU,-32.25,148.6167,57.33,82,90,17.27,overcast clouds
256,Fortuna,US,40.5982,-124.1573,68.94,71,40,1.99,scattered clouds
257,Katsuura,JP,35.1333,140.3,69.91,77,4,8.61,clear sky
